video_name,algorithm,scene_person_mode,lighting_mode,n_frames_total,n_frames_scored,n_frames_no_active_gt,n_frames_pred_missing,matched_frame_rate,total_eval_kpt,total_missing_pred_kpt,total_pck_correct,oks_mean_frame,oks_median_frame,oks_weighted,pck_global,latency_mean_ms,latency_median_ms,latency_p95_ms,fps_mean,fps_effective,notes
SP_R_Jongkok_2,mediapipe,single,dim,169,169,0,0,1.000000,2028,274,1702,0.586684,0.591134,0.586684,0.839250,34.401620,32.666100,45.056100,29.730085,29.068399,
SP_R_PushUp_1,mediapipe,single,dim,85,74,0,11,0.870588,647,127,479,0.432657,0.402457,0.470988,0.740340,36.607822,33.361800,58.883600,28.623844,27.316566,
SP_R_PushUp_2,mediapipe,single,dim,130,96,0,34,0.738462,1214,518,559,0.342881,0.454187,0.356353,0.460461,33.161323,32.648400,47.768000,32.284811,30.155612,
SP_R_Yoga_1,mediapipe,single,dim,115,115,0,0,1.000000,1487,59,1397,0.781808,0.835942,0.782476,0.939475,44.806309,40.506600,79.842300,24.303583,22.318286,
SP_R_Yoga_2,mediapipe,single,dim,175,148,0,27,0.845714,2275,398,1852,0.697760,0.839652,0.697760,0.814066,30.050502,28.970600,41.959300,35.629473,33.277314,
SP_T_DudukBerdiri_1,mediapipe,single,bright,122,122,0,0,1.000000,1464,0,1464,0.824344,0.841592,0.824344,1.000000,27.787767,27.645950,29.143500,36.009967,35.987058,
SP_T_DudukBerdiri_2,mediapipe,single,bright,134,134,0,0,1.000000,1608,0,1596,0.761753,0.759317,0.761753,0.992537,27.766526,27.760200,28.665900,36.025523,36.014588,
SP_T_Jongkok_1,mediapipe,single,bright,124,124,0,0,1.000000,1488,0,1488,0.901847,0.907155,0.901847,1.000000,27.646735,27.594350,28.678800,36.186323,36.170637,
SP_T_Jongkok_2,mediapipe,single,bright,145,145,0,0,1.000000,1740,48,1659,0.791071,0.862048,0.791071,0.953448,27.498597,27.355700,28.497500,36.380077,36.365491,
SP_T_PushUp_1,mediapipe,single,bright,124,124,0,0,1.000000,998,15,979,0.850056,0.865601,0.851910,0.980962,28.033540,27.932100,28.966300,35.727240,35.671556,
SP_T_PushUp_2,mediapipe,single,bright,128,128,0,0,1.000000,1190,186,937,0.580698,0.648880,0.599491,0.787395,48.566812,56.855650,65.474500,22.870712,20.590192,
SP_T_Yoga_1,mediapipe,single,bright,121,120,1,0,0.991736,1560,1,1557,0.893795,0.892470,0.893795,0.998077,31.741378,30.804800,36.352900,31.920628,31.504619,
SP_T_Yoga_2,mediapipe,single,bright,226,226,0,0,1.000000,2938,0,2938,0.917612,0.914819,0.917612,1.000000,39.077348,33.516800,58.534000,27.188507,25.590273,
MP_R_DudukBerdiri_1,blazepose,multi,dim,121,120,0,1,0.991736,1283,90,959,0.453138,0.496289,0.456359,0.747467,29.389442,27.947700,37.396400,34.378612,34.025824,
MP_R_DudukBerdiri_2,blazepose,multi,dim,150,133,0,17,0.886667,1538,558,249,0.087171,0.000013,0.092033,0.161899,43.018129,45.189950,65.888100,24.866555,23.246013,
MP_R_Jongkok_1,blazepose,multi,dim,126,126,0,0,1.000000,1512,111,1337,0.710484,0.747081,0.710484,0.884259,33.159760,32.373750,39.642400,30.459433,30.157033,
MP_R_Jongkok_2,blazepose,multi,dim,139,137,0,2,0.985612,1668,286,1226,0.481212,0.491254,0.481212,0.735012,40.596220,34.615200,60.619500,26.475366,24.632835,
MP_R_PushUp_1,blazepose,multi,dim,77,76,0,1,0.987013,557,34,485,0.566718,0.601313,0.577195,0.870736,35.024179,32.512300,49.258700,29.343570,28.551704,
MP_R_PushUp_2,blazepose,multi,dim,91,74,0,17,0.813187,728,324,67,0.046907,0.017469,0.046907,0.092033,31.467151,31.056200,35.258200,31.899340,31.779172,
MP_R_Yoga_1,blazepose,multi,dim,182,182,0,0,1.000000,2361,25,2150,0.660344,0.662596,0.660053,0.910631,29.277776,27.858550,35.239800,34.480048,34.155599,
MP_R_Yoga_2,blazepose,multi,dim,173,158,0,15,0.913295,2249,407,1040,0.333970,0.138980,0.333970,0.462428,27.537137,27.378100,29.395700,36.443529,36.314596,
MP_T_DudukBerdiri_1,blazepose,multi,bright,148,148,0,0,1.000000,1771,49,1603,0.648399,0.686964,0.648009,0.905138,29.846840,27.681450,41.833000,34.327562,33.504385,
MP_T_DudukBerdiri_2,blazepose,multi,bright,145,122,0,23,0.841379,1697,775,155,0.055633,0.000599,0.056492,0.091338,27.753431,27.519300,29.896500,36.077387,36.031581,
MP_T_Jongkok_1,blazepose,multi,bright,144,144,0,0,1.000000,1728,12,1578,0.811523,0.909387,0.811523,0.913194,31.636853,27.916150,40.483400,32.626712,31.608707,
MP_T_Jongkok_2,blazepose,multi,bright,208,145,63,0,0.697115,1740,264,685,0.216616,0.189612,0.216616,0.393678,30.312818,27.505800,40.643100,33.855782,32.989345,
MP_T_PushUp_1,blazepose,multi,bright,76,76,0,0,1.000000,532,15,505,0.779557,0.779448,0.780368,0.949248,42.149405,40.541400,49.431200,23.872618,23.725127,
